iter	RMSE
0	4331.977231
1	4073.374255
2	3847.046414
3	3649.009067
4	3475.230236
5	3321.508347
6	3182.398833
7	3055.286218
8	2944.190253
9	2849.554862
10	2761.11343
11	2684.415874
12	2617.188584
13	2553.750311
14	2498.03285
15	2439.195787
16	2396.281891
17	2349.745154
18	2307.202082
19	2271.201747
20	2238.687199
21	2213.996528
22	2186.93233
23	2161.598758
24	2138.928547
25	2119.281873
26	2102.253917
27	2086.919292
28	2072.005287
29	2060.479145
30	2045.735318
31	2033.360333
32	2024.353549
33	2015.205136
34	2006.809882
35	1999.449725
36	1991.341995
37	1983.988025
38	1977.973189
39	1971.143992
40	1963.85219
41	1959.286658
42	1953.650788
43	1948.298815
44	1943.610482
45	1938.991212
46	1935.165173
47	1930.476066
48	1926.565084
49	1922.430428
50	1918.289345
51	1914.829631
52	1911.823688
53	1908.237878
54	1904.66311
55	1901.719019
56	1897.658484
57	1895.20241
58	1892.981159
59	1890.121116
60	1887.022238
61	1885.259858
62	1882.643485
63	1880.436846
64	1877.981714
65	1876.429368
66	1873.564418
67	1871.148472
68	1866.583895
69	1864.637332
70	1862.674637
71	1860.73994
72	1858.091484
73	1856.260623
74	1854.612177
75	1852.984004
76	1850.606104
77	1848.209284
78	1845.887239
79	1844.214941
80	1841.472267
81	1839.749348
82	1838.295826
83	1836.670071
84	1835.543162
85	1834.193851
86	1832.600429
87	1830.933
88	1829.87715
89	1828.564913
90	1827.289455
91	1825.375149
92	1824.361098
93	1823.389955
94	1822.193121
95	1820.525152
96	1819.489918
97	1817.16852
98	1815.3697
99	1813.065584
100	1811.124191
101	1810.369563
102	1808.503534
103	1807.579196
104	1806.568634
105	1805.919235
106	1805.173917
107	1803.77829
108	1802.740368
109	1801.83242
110	1800.775747
111	1800.358235
112	1799.146167
113	1798.327286
114	1797.271624
115	1795.529451
116	1794.28161
117	1793.421524
118	1792.859704
119	1791.807306
120	1791.522622
121	1790.466634
122	1788.784359
123	1787.497011
124	1787.028424
125	1785.912129
126	1784.555355
127	1783.18923
128	1781.675052
129	1781.049386
130	1780.057186
131	1778.729593
132	1777.802852
133	1776.900902
134	1775.501985
135	1774.868011
136	1773.753621
137	1773.230219
138	1772.613897
139	1771.935362
140	1770.294926
141	1769.366691
142	1768.319095
143	1767.889595
144	1767.158991
145	1766.46877
146	1765.381601
147	1764.766413
148	1764.176167
149	1763.664008
150	1762.576637
151	1762.121328
152	1761.271362
153	1760.122352
154	1759.181858
155	1758.668876
156	1757.819885
157	1756.753256
158	1756.037571
159	1755.068417
160	1754.729807
161	1753.645516
162	1752.568937
163	1752.018557
164	1751.218631
165	1750.63717
166	1749.827591
167	1749.462167
168	1748.432504
169	1747.875015
170	1747.329288
171	1746.542664
172	1746.058091
173	1745.410685
174	1744.482132
175	1743.380916
176	1742.33691
177	1742.083838
178	1741.329972
179	1740.904727
180	1740.778979
181	1740.381263
182	1739.888321
183	1739.512735
184	1739.117595
185	1738.648115
186	1737.88131
187	1737.152759
188	1736.875394
189	1736.600624
190	1735.865539
191	1735.463589
192	1734.870616
193	1734.479348
194	1733.923811
195	1733.048774
196	1732.413112
197	1731.902041
198	1731.404415
199	1731.092776
200	1730.607408
201	1730.280758
202	1730.136434
203	1729.495391
204	1729.192062
205	1728.579587
206	1728.349087
207	1727.80292
208	1727.450128
209	1726.784894
210	1726.117666
211	1725.458415
212	1724.583341
213	1723.966829
214	1723.587023
215	1723.087909
216	1722.809151
217	1722.401521
218	1722.204384
219	1721.568739
220	1720.872282
221	1720.32293
222	1719.796368
223	1719.362029
224	1719.001953
225	1718.489498
226	1718.07584
227	1717.648717
228	1717.232647
229	1716.797099
230	1716.60651
231	1716.332343
232	1715.817801
233	1715.689268
234	1715.361497
235	1715.158562
236	1714.541781
237	1714.225201
238	1714.037997
239	1713.393827
240	1713.098196
241	1712.776386
242	1712.286725
243	1711.730235
244	1711.376494
245	1711.240703
246	1710.823457
247	1710.553135
248	1710.154731
249	1709.981217
250	1709.88948
251	1709.697817
252	1708.965463
253	1708.406659
254	1708.251691
255	1707.859549
256	1707.485323
257	1707.130595
258	1706.99472
259	1706.823057
260	1706.520994
261	1705.995749
262	1705.889672
263	1705.60158
264	1705.207135
265	1704.953104
266	1704.528523
267	1704.316947
268	1703.545995
269	1703.162985
270	1702.855598
271	1702.374568
272	1702.293884
273	1701.770754
274	1701.502487
275	1701.010024
276	1700.280451
277	1700.104707
278	1699.922795
279	1699.389496
280	1698.859558
281	1698.548036
282	1698.162823
283	1697.730961
284	1697.54606
285	1697.347116
286	1697.120517
287	1697.044567
288	1696.765964
289	1696.549155
290	1696.324875
291	1695.864897
292	1695.648999
293	1695.630048
294	1695.185791
295	1695.056061
296	1695.046627
297	1694.893305
298	1694.289655
299	1693.846159
300	1693.60129
301	1693.453146
302	1693.142875
303	1692.98986
304	1692.753951
305	1692.326472
306	1692.160149
307	1691.8953
308	1691.766065
309	1691.762075
310	1691.417505
311	1691.139156
312	1690.779619
313	1690.605985
314	1690.591205
315	1690.184306
316	1689.935685
317	1689.86816
318	1689.731674
319	1689.583458
320	1689.470069
321	1689.29964
322	1689.126994
323	1688.948263
324	1688.623305
325	1688.507121
326	1688.106467
327	1687.78467
328	1687.446171
329	1687.333684
330	1687.156024
331	1686.879134
332	1686.568421
333	1686.262803
334	1685.980468
335	1685.745721
336	1685.442852
337	1685.211542
338	1684.825318
339	1684.780239
340	1684.670111
341	1684.311981
342	1683.951362
343	1683.762095
344	1683.559649
345	1683.158474
346	1683.093913
347	1683.030971
348	1682.85212
349	1682.622296
350	1682.533763
351	1682.089533
352	1681.986948
353	1681.694935
354	1681.329977
355	1681.251198
356	1680.974162
357	1680.609705
358	1680.417995
359	1680.27448
360	1680.056756
361	1679.872986
362	1679.522413
363	1679.328211
364	1679.197488
365	1679.017
366	1678.83474
367	1678.629912
368	1678.218971
369	1678.068131
370	1677.975318
371	1677.906741
372	1677.748806
373	1677.49653
374	1677.135632
375	1676.959421
376	1676.661711
377	1676.189614
378	1676.060771
379	1675.753115
380	1675.422153
381	1675.261967
382	1675.166573
383	1675.119871
384	1674.830088
385	1674.649931
386	1674.282259
387	1674.069762
388	1673.862653
389	1673.557574
390	1673.467672
391	1673.340319
392	1673.237119
393	1672.897018
394	1672.613262
395	1672.571404
396	1672.190435
397	1671.940998
398	1671.740474
399	1671.473367
400	1671.233877
401	1671.136136
402	1670.987768
403	1670.794239
404	1670.467931
405	1670.284188
406	1670.133564
407	1670.00477
408	1669.842459
409	1669.531849
410	1669.287605
411	1669.048978
412	1668.889399
413	1668.67372
414	1668.502438
415	1668.238153
416	1668.010082
417	1667.773615
418	1667.705277
419	1667.615835
420	1667.423853
421	1667.389869
422	1667.240997
423	1667.048108
424	1666.774219
425	1666.655325
426	1666.355551
427	1666.314649
428	1666.152015
429	1665.974382
430	1665.91371
431	1665.769391
432	1665.50245
433	1665.363794
434	1665.251173
435	1665.140849
436	1664.989961
437	1664.863007
438	1664.761557
439	1664.601924
440	1664.265722
441	1664.055914
442	1663.915897
443	1663.804576
444	1663.597388
445	1663.46336
446	1663.164695
447	1662.926189
448	1662.755829
449	1662.416885
450	1662.061351
451	1661.914511
452	1661.668662
453	1661.567763
454	1661.267114
455	1661.173316
456	1661.083254
457	1661.004236
458	1660.759858
459	1660.555212
460	1660.380601
461	1660.098365
462	1660.007788
463	1659.853275
464	1659.791593
465	1659.504365
466	1659.213539
467	1659.123334
468	1658.967015
469	1658.790693
470	1658.649323
471	1658.596389
472	1658.472818
473	1658.33396
474	1657.935505
475	1657.852657
476	1657.651981
477	1657.576073
478	1657.377926
479	1657.186793
480	1657.005084
481	1656.868811
482	1656.580996
483	1656.516093
484	1656.369791
485	1656.160561
486	1656.088231
487	1655.948652
488	1655.710031
489	1655.60697
490	1655.358531
491	1655.252829
492	1655.130905
493	1654.975312
494	1654.608576
495	1654.421283
496	1654.347414
497	1654.295196
498	1654.128693
499	1654.030021
500	1653.846608
501	1653.660487
502	1653.547145
503	1653.297031
504	1653.081049
505	1652.928973
506	1652.884425
507	1652.747504
508	1652.536038
509	1652.379819
510	1652.10804
511	1651.972686
512	1651.644653
513	1651.393943
514	1651.253776
515	1650.989769
516	1650.794606
517	1650.577339
518	1650.511169
519	1650.39317
520	1650.3503
521	1650.256324
522	1650.155263
523	1650.05031
524	1649.960934
525	1649.848008
526	1649.807504
527	1649.554371
528	1649.047886
529	1648.822965
530	1648.778187
531	1648.740795
532	1648.561898
533	1648.365038
534	1648.285867
535	1648.236405
536	1648.045622
537	1648.008406
538	1647.769101
539	1647.632094
540	1647.379537
541	1647.199715
542	1647.109499
543	1646.860138
544	1646.705942
545	1646.617735
546	1646.529953
547	1646.418422
548	1646.315839
549	1646.239097
550	1645.977625
551	1645.710665
552	1645.537627
553	1645.315578
554	1645.098715
555	1645.029911
556	1644.872976
557	1644.673982
558	1644.516653
559	1644.337729
560	1644.224345
561	1644.029601
562	1643.93457
563	1643.817776
564	1643.777895
565	1643.741843
566	1643.485991
567	1643.319993
568	1643.181935
569	1642.959895
570	1642.718571
571	1642.68562
572	1642.549085
573	1642.497107
574	1642.43657
575	1642.337728
576	1642.255954
577	1642.069394
578	1641.907833
579	1641.754706
580	1641.595215
581	1641.485369
582	1641.351284
583	1641.163973
584	1640.993299
585	1640.865598
586	1640.72969
587	1640.566141
588	1640.500621
589	1640.300634
590	1640.242998
591	1640.029971
592	1639.801476
593	1639.689193
594	1639.540921
595	1639.389859
596	1639.127535
597	1639.032528
598	1638.959463
599	1638.784645
600	1638.762714
601	1638.388146
602	1638.158387
603	1638.090726
604	1638.02588
605	1637.823775
606	1637.679075
607	1637.585645
608	1637.462994
609	1637.449846
610	1637.394495
611	1637.258767
612	1637.17747
613	1636.982719
614	1636.787724
615	1636.760069
616	1636.719693
617	1636.504175
618	1636.396028
619	1636.289911
620	1636.149892
621	1635.988249
622	1635.923951
623	1635.808138
624	1635.716799
625	1635.615397
626	1635.455685
627	1635.378528
628	1635.207533
629	1635.054377
630	1634.879287
631	1634.771498
632	1634.747475
633	1634.665744
634	1634.605785
635	1634.490842
636	1634.405524
637	1634.19366
638	1634.09128
639	1633.959593
640	1633.794006
641	1633.669231
642	1633.569012
643	1633.510467
644	1633.368413
645	1633.293206
646	1633.151815
647	1633.047044
648	1632.893668
649	1632.82431
650	1632.734617
651	1632.572357
652	1632.48135
653	1632.348001
654	1632.172692
655	1632.138795
656	1631.92426
657	1631.799573
658	1631.709344
659	1631.644772
660	1631.431631
661	1631.270989
662	1631.045213
663	1630.866513
664	1630.818169
665	1630.556766
666	1630.500629
667	1630.368233
668	1630.146322
669	1630.024559
670	1629.930882
671	1629.804707
672	1629.602908
673	1629.491261
674	1629.424287
675	1629.364568
676	1629.309096
677	1629.177061
678	1628.976375
679	1628.79587
680	1628.642626
681	1628.417854
682	1628.150766
683	1627.844967
684	1627.780702
685	1627.621955
686	1627.520995
687	1627.358908
688	1627.249414
689	1627.028955
690	1626.890907
691	1626.762685
692	1626.563172
693	1626.502255
694	1626.361984
695	1626.269105
696	1626.214896
697	1626.077947
698	1625.874787
699	1625.82411
700	1625.790972
701	1625.723242
702	1625.633136
703	1625.522593
704	1625.494319
705	1625.273338
706	1625.059364
707	1624.880167
708	1624.728387
709	1624.701553
710	1624.54141
711	1624.347342
712	1624.302414
713	1624.069142
714	1623.909572
715	1623.881365
716	1623.661947
717	1623.619066
718	1623.499488
719	1623.445852
720	1623.389774
721	1623.345891
722	1623.27165
723	1623.179014
724	1623.149869
725	1623.045197
726	1622.940259
727	1622.847398
728	1622.771832
729	1622.688294
730	1622.628574
731	1622.561766
732	1622.524119
733	1622.468634
734	1622.380984
735	1622.335631
736	1622.123967
737	1622.08628
738	1621.804695
739	1621.777823
740	1621.675547
741	1621.461776
742	1621.442674
743	1621.397045
744	1621.301
745	1621.208473
746	1621.155562
747	1621.098686
748	1621.043646
