iter	Passed	Remaining
0	218	217953
1	323	161294
2	418	138977
3	494	123227
4	588	117033
5	667	110532
6	749	106266
7	832	103238
8	939	103492
9	1031	102149
10	1125	101163
11	1232	101477
12	1309	99391
13	1405	98959
14	1513	99378
15	1614	99268
16	1732	100191
17	1864	101725
18	2047	105728
19	2162	105950
20	2244	104658
21	2333	103756
22	2429	103179
23	2510	102096
24	2583	100739
25	2662	99743
26	2744	98894
27	2808	97510
28	2895	96965
29	2954	95519
30	3041	95075
31	3122	94457
32	3197	93707
33	3263	92724
34	3327	91757
35	3381	90542
36	3479	90553
37	3560	90139
38	3640	89698
39	3691	88595
40	3769	88175
41	3832	87425
42	3911	87052
43	3953	85909
44	4051	85984
45	4142	85908
46	4225	85668
47	4305	85394
48	4381	85031
49	4465	84841
50	4549	84658
51	4635	84510
52	4723	84404
53	4830	84621
54	4894	84095
55	4978	83930
56	5038	83359
57	5128	83297
58	5216	83204
59	5289	82868
60	5387	82934
61	5473	82806
62	5558	82675
63	5624	82255
64	5721	82297
65	5820	82365
66	5928	82554
67	6008	82351
68	6083	82078
69	6169	81963
70	6260	81915
71	6340	81722
72	6431	81675
73	6523	81631
74	6615	81588
75	6707	81552
76	6818	81734
77	6888	81423
78	6944	80955
79	7023	80774
80	7099	80553
81	7183	80416
82	7257	80184
83	7350	80155
84	7467	80382
85	7561	80361
86	7658	80370
87	7731	80122
88	7818	80030
89	7916	80045
90	8029	80206
91	8127	80217
92	8220	80174
93	8310	80095
94	8424	80249
95	8544	80460
96	8610	80153
97	8673	79829
98	8756	79695
99	8858	79726
100	8939	79574
101	9026	79464
102	9129	79503
103	9235	79568
104	9320	79445
105	9402	79299
106	9477	79098
107	9556	78932
108	9628	78706
109	9706	78533
110	9790	78408
111	9874	78288
112	9938	78011
113	10035	77994
114	10104	77763
115	10193	77679
116	10273	77537
117	10355	77405
118	10427	77202
119	10504	77030
120	10587	76913
121	10667	76773
122	10770	76798
123	10842	76599
124	10931	76518
125	11004	76336
126	11091	76242
127	11187	76216
128	11287	76211
129	11394	76255
130	11502	76301
131	11592	76232
132	11679	76133
133	11766	76043
134	11857	75977
135	11937	75838
136	12001	75600
137	12096	75557
138	12179	75444
139	12273	75392
140	12361	75306
141	12444	75191
142	12545	75186
143	12617	75003
144	12702	74902
145	12805	74905
146	12918	74964
147	13005	74867
148	13088	74751
149	13152	74532
150	13204	74239
151	13257	73961
152	13315	73711
153	13385	73530
154	13461	73384
155	13543	73272
156	13609	73073
157	13663	72813
158	13745	72706
159	13804	72471
160	13870	72282
161	13934	72079
162	14011	71946
163	14070	71723
164	14135	71533
165	14203	71357
166	14267	71165
167	14328	70959
168	14393	70774
169	14451	70556
170	14519	70388
171	14585	70214
172	14646	70013
173	14728	69919
174	14811	69824
175	14870	69622
176	14933	69438
177	14996	69255
178	15050	69028
179	15101	68797
180	15175	68665
181	15232	68461
182	15277	68206
183	15342	68041
184	15414	67909
185	15481	67753
186	15540	67565
187	15599	67375
188	15707	67400
189	15792	67325
190	15873	67232
191	15934	67056
192	16001	66908
193	16079	66803
194	16133	66602
195	16206	66479
196	16273	66334
197	16331	66152
198	16391	65978
199	16475	65902
200	16546	65775
201	16623	65672
202	16701	65573
203	16781	65482
204	16872	65431
205	16968	65404
206	17026	65226
207	17094	65090
208	17156	64930
209	17212	64752
210	17284	64632
211	17343	64465
212	17410	64327
213	17470	64169
214	17528	63998
215	17592	63855
216	17652	63696
217	17713	63540
218	17781	63411
219	17849	63283
220	17923	63177
221	17977	63002
222	18040	62858
223	18105	62720
224	18177	62610
225	18244	62484
226	18304	62333
227	18366	62189
228	18422	62026
229	18498	61930
230	18548	61748
231	18605	61590
232	18679	61491
233	18705	61231
234	18780	61137
235	18853	61034
236	18923	60923
237	18977	60760
238	19051	60662
239	19136	60599
240	19202	60475
241	19263	60337
242	19336	60237
243	19405	60125
244	19476	60019
245	19553	59931
246	19615	59800
247	19671	59649
248	19744	59550
249	19807	59423
250	19847	59226
251	19884	59021
252	19935	58862
253	20009	58768
254	20063	58618
255	20139	58529
256	20213	58438
257	20283	58335
258	20336	58182
259	20415	58104
260	20479	57986
261	20547	57877
262	20590	57699
263	20646	57559
264	20706	57431
265	20772	57320
266	20838	57208
267	20898	57081
268	20957	56952
269	21026	56848
270	21076	56696
271	21147	56601
272	21234	56547
273	21330	56517
274	21418	56465
275	21491	56377
276	21561	56277
277	21638	56196
278	21703	56086
279	21775	55993
280	21849	55906
281	21915	55800
282	21977	55682
283	22042	55571
284	22093	55428
285	22153	55305
286	22227	55220
287	22272	55063
288	22330	54936
289	22385	54806
290	22440	54675
291	22487	54524
292	22539	54388
293	22593	54254
294	22641	54109
295	22691	53969
296	22718	53774
297	22793	53693
298	22864	53606
299	22937	53521
300	22997	53406
301	23055	53287
302	23137	53223
303	23207	53132
304	23269	53024
305	23317	52884
306	23374	52764
307	23426	52632
308	23481	52510
309	23523	52359
310	23584	52249
311	23645	52140
312	23721	52065
313	23787	51969
314	23833	51829
315	23893	51719
316	23957	51617
317	24018	51512
318	24073	51391
319	24142	51303
320	24198	51186
321	24261	51084
322	24320	50974
323	24399	50907
324	24466	50814
325	24543	50743
326	24603	50635
327	24652	50507
328	24708	50392
329	24776	50303
330	24848	50222
331	24905	50111
332	24976	50027
333	25030	49911
334	25080	49785
335	25164	49730
336	25237	49651
337	25315	49583
338	25382	49491
339	25431	49367
340	25486	49254
341	25563	49183
342	25623	49081
343	25709	49027
344	25779	48944
345	25823	48811
346	25883	48708
347	25983	48680
348	26066	48622
349	26156	48576
350	26266	48566
351	26327	48466
352	26400	48387
353	26448	48265
354	26498	48144
355	26570	48066
356	26628	47961
357	26698	47877
358	26767	47794
359	26821	47682
360	26898	47612
361	26961	47517
362	27023	47420
363	27091	47335
364	27162	47254
365	27216	47146
366	27290	47070
367	27356	46982
368	27432	46909
369	27512	46846
370	27586	46770
371	27648	46675
372	27721	46599
373	27793	46520
374	27854	46423
375	27924	46342
376	27985	46246
377	28039	46139
378	28106	46052
379	28176	45972
380	28254	45903
381	28325	45824
382	28389	45733
383	28463	45659
384	28523	45563
385	28593	45483
386	28655	45389
387	28727	45311
388	28788	45217
389	28847	45120
390	28928	45056
391	28977	44945
392	29046	44863
393	29119	44787
394	29186	44703
395	29240	44598
396	29318	44531
397	29385	44447
398	29462	44378
399	29550	44325
400	29620	44245
401	29686	44161
402	29765	44093
403	29834	44013
404	29899	43925
405	29962	43836
406	30017	43735
407	30099	43673
408	30166	43590
409	30223	43491
410	30294	43414
411	30360	43330
412	30436	43260
413	30516	43195
414	30568	43089
415	30630	43000
416	30691	42908
417	30750	42815
418	30805	42715
419	30865	42623
420	30927	42534
421	30974	42424
422	31039	42339
423	31101	42250
424	31146	42139
425	31181	42013
426	31239	41920
427	31306	41839
428	31390	41780
429	31473	41720
430	31564	41670
431	31660	41627
432	31723	41540
433	31796	41467
434	31869	41393
435	31931	41305
436	32014	41245
437	32088	41172
438	32135	41066
439	32218	41005
440	32308	40953
441	32384	40883
442	32475	40832
443	32544	40754
444	32615	40677
445	32690	40606
446	32768	40539
447	32841	40465
448	32953	40439
449	33005	40340
450	33090	40280
451	33188	40236
452	33241	40139
453	33338	40094
454	33395	40001
455	33475	39935
456	33611	39936
457	33738	39926
458	33852	39900
459	33959	39865
460	34047	39808
461	34145	39762
462	34280	39759
463	34412	39752
464	34554	39756
465	34664	39722
466	34792	39709
467	34885	39656
468	35009	39637
469	35124	39608
470	35232	39570
471	35346	39540
472	35447	39494
473	35537	39435
474	35624	39374
475	35704	39304
476	35782	39233
477	35860	39160
478	35945	39097
479	36026	39029
480	36106	38958
481	36192	38896
482	36275	38828
483	36337	38739
484	36403	38655
485	36495	38597
486	36563	38515
487	36672	38475
488	36773	38427
489	36850	38354
490	36931	38284
491	36989	38192
492	37103	38157
493	37203	38107
494	37283	38036
495	37394	37997
496	37496	37949
497	37570	37871
498	37688	37839
499	37823	37823
